source,target,created_at,is_reciprocal
bfb51aaa-6709-44ef-8468-c088bafaf0fb,5f91fb35-a940-4754-a5d3-f683ade1aab5,2025-11-05 13:31:16.359258+00,false
904d2f22-8f54-451b-8a9c-35582a4f451c,be516f5c-fe54-48de-80af-2767abe3a5d6,2025-11-08 09:56:56.195985+00,true
cd3f6f0d-9788-4334-a80e-66c6f92587c1,0813f0a0-23cd-4455-971a-9184578722e8,2025-11-13 12:54:22.818016+00,true
44577120-05e6-4f8f-b660-5ab670d07187,ca897136-6c03-49d2-9922-ca5cec251de3,2025-11-17 14:00:51.989976+00,true
11994cbe-6b61-417b-9e99-4160a98e0de8,bb841d1d-78fc-4a3e-8150-cb597ee5af0a,2025-11-21 03:06:26.558282+00,false
28c5d559-12d8-47de-b7cc-2754cd105aaf,c3ddb888-66e9-40b2-878e-c2970a382174,2025-11-30 02:27:21.293198+00,false
28c5d559-12d8-47de-b7cc-2754cd105aaf,6e1e4db7-816b-40fd-9a0e-592a645562d4,2025-12-05 00:48:45.705428+00,false
e6121d8a-e82f-43e3-9657-c26308f1f83a,b1640bd5-7937-460d-987a-98b3cb27b471,2025-12-11 11:38:21.146885+00,true
357f6949-e045-43e6-b24a-82c54a65f60c,fbaa72b8-a1ca-4eaf-871a-947f17c7c173,2026-01-07 07:40:02.137297+00,false
e103e28b-fb4a-49a1-8694-dbd955c28450,549cdf69-5165-4876-adf1-60d2ff0adcf6,2026-01-11 15:30:09.25228+00,true
01c5031b-8af9-45ac-8272-d0a29cc1c4f0,6374fa3b-1314-44db-a25e-d86ab50af1de,2026-02-15 14:50:21.738469+00,false
09b9ecf5-c6a3-461a-85e1-bc4a1abac9ae,128cf989-aaaa-4382-b9bf-04f9395a2e97,2026-04-20 02:09:18.867292+00,false
89012806-c540-4e9c-969f-d0c6700326fe,6fb36fb0-618c-4e9f-9dda-bc242ced6328,2025-10-17 02:25:38.073635+00,false
89012806-c540-4e9c-969f-d0c6700326fe,d1433f38-6bbd-4a36-922e-adbd9ccf72e5,2025-10-17 02:25:39.776146+00,false
bfb51aaa-6709-44ef-8468-c088bafaf0fb,d1433f38-6bbd-4a36-922e-adbd9ccf72e5,2025-11-05 13:31:35.463967+00,false
a8eb5236-5b46-4910-86be-bea860a7b5f3,904d2f22-8f54-451b-8a9c-35582a4f451c,2025-11-08 10:19:50.111974+00,false
0813f0a0-23cd-4455-971a-9184578722e8,cd3f6f0d-9788-4334-a80e-66c6f92587c1,2025-11-13 12:55:48.867567+00,true
bc7a2605-10c8-4763-ab4d-85a6e01f932a,ca897136-6c03-49d2-9922-ca5cec251de3,2025-11-17 14:12:43.296816+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,c6e001d0-4691-4135-b630-30777dda0ef1,2025-11-30 02:29:49.226043+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,5f91fb35-a940-4754-a5d3-f683ade1aab5,2025-12-05 00:48:51.116614+00,false
71e3bd18-5dc9-4be1-a60a-ac5d1f9fbe1e,6e26bb99-1465-4cb9-acca-5504263941bb,2025-12-16 08:11:02.341196+00,true
9a64e45d-6765-4465-aeb2-1a89f641c0ac,28c5d559-12d8-47de-b7cc-2754cd105aaf,2026-01-07 10:29:27.93873+00,false
549cdf69-5165-4876-adf1-60d2ff0adcf6,e103e28b-fb4a-49a1-8694-dbd955c28450,2026-01-11 15:41:51.257745+00,true
01c5031b-8af9-45ac-8272-d0a29cc1c4f0,f36952e3-1b7d-47a7-8421-1568b09b3344,2026-02-15 14:51:11.603659+00,false
3d02db01-9e1b-4e25-b985-b800459a7de4,128cf989-aaaa-4382-b9bf-04f9395a2e97,2026-04-20 02:42:20.437482+00,false
89012806-c540-4e9c-969f-d0c6700326fe,43aa2c6a-ebef-4fac-b919-9b6d0dece2cc,2025-10-17 02:25:38.239438+00,false
89012806-c540-4e9c-969f-d0c6700326fe,f1aa1a32-9e6f-4153-a77d-f0df1891cdb7,2025-10-17 02:25:38.691925+00,false
89012806-c540-4e9c-969f-d0c6700326fe,f0d4c2eb-28ef-4f7f-b7d5-1ce64149baa0,2025-10-17 02:25:47.288662+00,false
89012806-c540-4e9c-969f-d0c6700326fe,77886fd0-405f-4346-afdd-9a33512d8934,2025-10-17 02:25:57.540799+00,false
bfb51aaa-6709-44ef-8468-c088bafaf0fb,a31bb88b-9e1b-4cc0-87c9-7d70caab78a9,2025-11-05 13:31:49.701523+00,false
a8eb5236-5b46-4910-86be-bea860a7b5f3,be516f5c-fe54-48de-80af-2767abe3a5d6,2025-11-08 10:19:52.529149+00,false
b503569b-1cca-436d-b90f-f3edc0878374,0813f0a0-23cd-4455-971a-9184578722e8,2025-11-13 14:43:39.320261+00,true
bc7a2605-10c8-4763-ab4d-85a6e01f932a,44577120-05e6-4f8f-b660-5ab670d07187,2025-11-17 14:12:46.1482+00,true
9b03a4e3-2332-4db3-84d6-f5c704ad5323,bb841d1d-78fc-4a3e-8150-cb597ee5af0a,2025-11-25 20:39:28.6082+00,false
28c5d559-12d8-47de-b7cc-2754cd105aaf,98d39f6d-1c91-4947-b071-dfd1f5e3d213,2025-11-30 02:29:54.710784+00,false
6e26bb99-1465-4cb9-acca-5504263941bb,71e3bd18-5dc9-4be1-a60a-ac5d1f9fbe1e,2025-12-16 08:15:10.914359+00,true
9a64e45d-6765-4465-aeb2-1a89f641c0ac,e57a62b7-9606-4b5d-aca6-29901a3ded3c,2026-01-01 10:19:34.347196+00,false
9a64e45d-6765-4465-aeb2-1a89f641c0ac,3d944c23-2302-4ce7-89bc-8289ee8b0b27,2026-01-07 10:30:27.978113+00,true
89012806-c540-4e9c-969f-d0c6700326fe,3fa3ef0d-9375-4441-bf67-5e32ae02987c,2025-10-17 02:25:39.123573+00,false
89012806-c540-4e9c-969f-d0c6700326fe,b67bf857-b1c6-4dfc-8dd0-37bd8a833750,2025-10-17 02:25:39.991248+00,false
89012806-c540-4e9c-969f-d0c6700326fe,e055f731-607a-47fb-8c7e-6d7ef5683110,2025-10-17 02:25:43.596636+00,false
89012806-c540-4e9c-969f-d0c6700326fe,bfe7c563-37c7-4a0c-951f-38d8b5a411dd,2025-10-17 02:25:45.736803+00,false
89012806-c540-4e9c-969f-d0c6700326fe,f83fb566-a714-44bc-960e-51e722700301,2025-10-17 02:25:52.903717+00,false
bfb51aaa-6709-44ef-8468-c088bafaf0fb,f110ca18-a4b0-4f0f-ade2-7d202692105a,2025-11-05 13:33:16.225339+00,false
0813f0a0-23cd-4455-971a-9184578722e8,b503569b-1cca-436d-b90f-f3edc0878374,2025-11-13 15:31:11.739067+00,true
bc7a2605-10c8-4763-ab4d-85a6e01f932a,cdb85983-6846-43f9-a354-7f0e7c69874b,2025-11-17 14:12:46.540048+00,true
f6b448a6-c1fc-4a26-a0c5-e972548d75bb,b2eaf59e-2db7-4a76-bd35-058040257452,2025-11-28 03:03:01.483073+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,63731881-bc3f-4e37-b6b4-82a9012dd2fe,2025-11-30 02:30:02.340426+00,false
fbaa72b8-a1ca-4eaf-871a-947f17c7c173,a7125370-6812-4da2-8b88-10187c3742b5,2025-12-09 23:15:36.172874+00,true
70647789-df09-4be7-9b6c-ca04ee6422ec,598e7a87-e904-4023-9e99-c5b04e251a5d,2025-12-19 16:54:51.922984+00,true
598e7a87-e904-4023-9e99-c5b04e251a5d,005d5612-386a-450d-829f-e9d7a71767a6,2026-01-01 12:59:16.83796+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,9e0044b2-9f78-4f6b-956a-ebf8d1ead509,2026-01-08 04:23:19.25847+00,false
177228cd-104a-46b7-b876-dd2edca36d55,d0e5a4f4-9404-49a4-a2a1-39ba728538a6,2026-01-20 05:35:10.767321+00,true
23e4ee89-d8a9-4cf9-8134-4e111dbfcd9a,ce61d6a3-e7a7-4558-aec5-000927d1c68a,2026-04-25 12:28:33.975765+00,false
89012806-c540-4e9c-969f-d0c6700326fe,18834126-179a-4198-ae2e-e52525ea0338,2025-10-17 02:25:43.644909+00,false
89012806-c540-4e9c-969f-d0c6700326fe,aa033f22-211e-4622-b3f8-a2c7419aa95c,2025-10-17 02:25:44.585149+00,false
89012806-c540-4e9c-969f-d0c6700326fe,277f25be-189e-433b-8ed8-40faee541766,2025-10-17 02:25:45.13304+00,false
89012806-c540-4e9c-969f-d0c6700326fe,0de997c2-c2c3-4ec2-b06e-0eaef9851703,2025-10-17 02:25:47.477279+00,false
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,51100502-c406-4c75-b683-fbc7a7084f4c,2025-11-06 13:14:50.989017+00,false
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,3800f891-69ca-4ebc-96d6-a978aa1c9d0f,2025-11-06 13:15:09.458759+00,false
ca897136-6c03-49d2-9922-ca5cec251de3,bc7a2605-10c8-4763-ab4d-85a6e01f932a,2025-11-17 14:38:34.647461+00,true
b2eaf59e-2db7-4a76-bd35-058040257452,f6b448a6-c1fc-4a26-a0c5-e972548d75bb,2025-11-28 03:03:22.650865+00,true
357f6949-e045-43e6-b24a-82c54a65f60c,6374fa3b-1314-44db-a25e-d86ab50af1de,2025-11-30 16:41:44.536097+00,false
66b87c72-c470-464b-b4aa-e2859e96f060,a1cc56bc-0014-47de-b316-1b05cecacb99,2025-12-11 10:40:24.733655+00,true
70647789-df09-4be7-9b6c-ca04ee6422ec,bb841d1d-78fc-4a3e-8150-cb597ee5af0a,2025-12-19 17:01:36.713388+00,false
598e7a87-e904-4023-9e99-c5b04e251a5d,70647789-df09-4be7-9b6c-ca04ee6422ec,2026-01-01 12:59:18.984368+00,true
28c5d559-12d8-47de-b7cc-2754cd105aaf,51100502-c406-4c75-b683-fbc7a7084f4c,2026-01-08 04:23:30.618736+00,false
d0e5a4f4-9404-49a4-a2a1-39ba728538a6,177228cd-104a-46b7-b876-dd2edca36d55,2026-01-20 05:35:20.392811+00,true
96291720-14e7-4c0e-84b0-9224d68f48aa,dbbffdbf-6941-4775-ba60-1dd2688542d6,2026-03-12 06:34:47.876757+00,true
89012806-c540-4e9c-969f-d0c6700326fe,46303f77-7947-41f2-a133-0eac78b923d9,2025-10-17 02:25:47.15883+00,false
89012806-c540-4e9c-969f-d0c6700326fe,3f377267-bbc4-47f4-a1a1-bfc7e33e38d3,2025-10-17 02:25:57.267877+00,false
b3172c45-8298-4533-b4ed-adee7aaac62d,691c24ae-b2a7-4be4-9bec-97ebac08fe19,2025-10-18 04:57:31.918741+00,false
98548b77-8347-45cc-9b6e-8ae76d9bf703,094b0500-3674-44cc-b305-f29ae20d644d,2025-10-19 12:04:10.134634+00,true
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,a4884da9-0820-4dfa-a52d-d1f7ccc17e86,2025-11-06 13:15:27.62263+00,false
7d88f96f-a0e1-4523-aaa1-40820947c51b,63731881-bc3f-4e37-b6b4-82a9012dd2fe,2025-11-28 11:11:46.445802+00,false
357f6949-e045-43e6-b24a-82c54a65f60c,bfc65f52-aaa5-4e63-9192-604400242f1f,2025-11-30 16:47:55.963127+00,false
01b6af31-9fe5-48d1-a48a-350a0b180d54,ef0a0516-2a86-450e-97b0-211bccef7941,2025-10-22 00:50:24.090961+00,true
ef0a0516-2a86-450e-97b0-211bccef7941,01b6af31-9fe5-48d1-a48a-350a0b180d54,2025-10-22 01:58:24.843147+00,true
5ab427cd-c66d-408e-bb7e-c19de655cfc2,7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,2025-10-22 03:45:44.332467+00,true
7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,5ab427cd-c66d-408e-bb7e-c19de655cfc2,2025-10-22 03:45:58.660698+00,true
094b0500-3674-44cc-b305-f29ae20d644d,98548b77-8347-45cc-9b6e-8ae76d9bf703,2025-10-23 10:13:31.94569+00,true
a1cc56bc-0014-47de-b316-1b05cecacb99,66b87c72-c470-464b-b4aa-e2859e96f060,2025-12-11 10:40:44.337729+00,true
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,70647789-df09-4be7-9b6c-ca04ee6422ec,2025-10-26 03:15:56.411816+00,false
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,bb841d1d-78fc-4a3e-8150-cb597ee5af0a,2025-10-26 03:15:58.508035+00,false
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,091bcbbb-3c6b-4e20-8d5a-c2fd61709a17,2025-10-26 03:16:28.640439+00,false
a7125370-6812-4da2-8b88-10187c3742b5,ef0a0516-2a86-450e-97b0-211bccef7941,2025-10-26 07:14:14.885262+00,false
a7125370-6812-4da2-8b88-10187c3742b5,fbaa72b8-a1ca-4eaf-871a-947f17c7c173,2025-10-26 07:14:25.169312+00,true
01c5031b-8af9-45ac-8272-d0a29cc1c4f0,6e26bb99-1465-4cb9-acca-5504263941bb,2025-12-20 03:37:55.342821+00,true
9a64e45d-6765-4465-aeb2-1a89f641c0ac,6374fa3b-1314-44db-a25e-d86ab50af1de,2025-10-27 14:42:19.74398+00,false
9a64e45d-6765-4465-aeb2-1a89f641c0ac,63731881-bc3f-4e37-b6b4-82a9012dd2fe,2025-10-27 14:44:53.180467+00,false
9a64e45d-6765-4465-aeb2-1a89f641c0ac,0359ac16-7ed8-4ba8-ba05-06864be45af0,2025-10-27 14:45:11.79775+00,false
36aa39a2-d4fd-4798-a1c9-9d8bafb8fda0,5e23281d-3f3a-47d5-a477-a32cbed8a2df,2025-10-27 23:51:13.04333+00,true
5e23281d-3f3a-47d5-a477-a32cbed8a2df,36aa39a2-d4fd-4798-a1c9-9d8bafb8fda0,2025-10-27 23:51:27.846456+00,true
a7125370-6812-4da2-8b88-10187c3742b5,ce61d6a3-e7a7-4558-aec5-000927d1c68a,2025-10-28 09:51:30.265933+00,false
a7125370-6812-4da2-8b88-10187c3742b5,7f33fb7a-127d-47b9-815f-edf4ee376f2a,2025-10-28 09:53:54.068648+00,false
a7125370-6812-4da2-8b88-10187c3742b5,c3ddb888-66e9-40b2-878e-c2970a382174,2025-10-28 09:54:13.677222+00,false
005d5612-386a-450d-829f-e9d7a71767a6,598e7a87-e904-4023-9e99-c5b04e251a5d,2025-10-28 17:27:52.674681+00,true
005d5612-386a-450d-829f-e9d7a71767a6,6374fa3b-1314-44db-a25e-d86ab50af1de,2025-10-28 17:34:19.352617+00,false
5f91fb35-a940-4754-a5d3-f683ade1aab5,e3289856-3c58-4af6-bca6-5ae1f1fac2d5,2025-10-28 23:03:08.10544+00,true
e3289856-3c58-4af6-bca6-5ae1f1fac2d5,5f91fb35-a940-4754-a5d3-f683ade1aab5,2025-10-28 23:03:17.330478+00,true
a7125370-6812-4da2-8b88-10187c3742b5,b8ed619d-f0bc-4d30-bad9-2d2dc1e67c60,2025-11-01 00:04:44.307296+00,false
6a50d8d9-cc0d-4523-9cb5-c68b208c49c5,c2737fec-de62-4a25-accc-83ae0d362e6c,2026-01-09 04:16:59.400616+00,true
598e7a87-e904-4023-9e99-c5b04e251a5d,e361e530-5b9f-4253-b133-08a5f2d49d0d,2026-01-24 15:53:02.496954+00,false
dbbffdbf-6941-4775-ba60-1dd2688542d6,96291720-14e7-4c0e-84b0-9224d68f48aa,2026-05-04 07:24:16.919476+00,true